日期,类别,车次/航班/车牌,车厢/座位等,出发地,目的地,发布时间,引用
1月12,火车,K457,4号车厢,武昌,株洲,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月12,火车,K581,6号车厢,株洲,湘潭,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月15,火车,Z335,10号车厢,武昌,柳州,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月15,火车,5539,3号车厢,柳州,金城江,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月16,火车,G2035,10号车厢,武汉,温州南,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月16,火车,G7645,8号车厢,温州南,苍南,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月16,火车,K4094,9号车厢,汉口,阜阳,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月16,火车,T182,,汉口,沈阳北,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月16,火车,Z162,5号车厢,武汉,石家庄,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月17,火车,K4094,14号车厢,汉口,阜阳,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月17,火车,G2039,12号车厢,武汉,温州,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月17,火车,D7625,,沈阳,本溪,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月18,火车,K4094,2号车厢,武汉,商丘南,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月18,火车,K1366,4号车厢,武昌,大同,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月18,火车,G6859,5号车厢,汉口,襄阳东,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月18,火车,T3038,7号车厢,汉口,北京西,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月19,火车,T307,8号车厢,武昌,乌鲁木齐,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月19,火车,Z336,2号车厢,武昌,郑州,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月19,火车,D366,3号车厢,武汉,成都东,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月19,火车,K1276,10号车厢,武昌,大同,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月20,火车,G4285,8号车厢,郑州,兰州,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月20,火车,G5043,2号车厢,南昌西,赣州西,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月20,火车,D1825,10号车厢,成都东,广州南,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月20,火车,K458,13号车厢,武昌,郑州,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月21,火车,G258,6号车厢,武汉,济南西,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月21,火车,G1264,11号车厢,郑州东,齐齐哈尔南,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月21,火车,K995,8号车厢,齐齐哈尔,牙克石,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月21,火车,D3937,7号车厢,南宁,昆明,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月21,火车,G1525,13号车厢,武汉,昆明南,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月22,火车,G1766,16号车厢,武汉,上海虹桥,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月22,火车,D361,14号车厢,武汉,成都,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月22,火车,G4,17号车厢,南京南,济南西,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月22,火车,G475,8号车厢,济南西,淄博,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月22,火车,K1068,4号车厢,汉口,威海,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月22,火车,D6963,,呼和浩特,鄂尔多斯,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月23,火车,G1278,2号车厢,汉口,哈尔滨西,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月24,火车,D3286,,汉口,梅州西,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月16,飞机,CA8275,,武汉,包头,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月19,飞机,A67107,,昆明,青岛,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月20,飞机,JD5528,,武汉,青岛,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月20,飞机,KY8288,,武汉,昆明,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月21,飞机,CA8943,,大连,佳木斯,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月21,飞机,SC8734,,武汉,青岛,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月22,飞机,KY8310,,武汉,腾冲,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月22,飞机,ZH4751(CA8215),,武汉,北京,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月22,飞机,CA8255,,武汉,呼和浩特,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月26,飞机,TR134,,新加坡,西安,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月16,汽车,浙CD7708,,苍南,南雁,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月16,汽车,晋M81162,,运城,河津,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月16,机场巴士,蒙BHX931,,包头机场,包头昆都仑区,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月18,汽车,豫ND7050,,商丘,永城,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月20,汽车,吉JG4666,,松原,乾安,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月21,汽车,云AR5306,1831车次,昆明,腾冲,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月21,汽车,晋C06600D,,阳泉北,阳泉,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月22,汽车,川R59013,,李渡镇,吉安镇,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月22,机场巴士,蒙A55055,1号线2号车,呼和浩特机场,呼和浩特西客站,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月23,汽车,渝A6G126,,斩草村,宝龙镇,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月23,汽车,渝A3G389,,二郎,古溪车站,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月23,汽车,渝C85905,,古溪车站,潼南,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月23,汽车,川R60720,,南充,烈面镇,2020.1.27,https://mp.weixin.qq.com/s/zPNMyyOv4eo_7f9ElMeBDQ
1月16,火车,T182,,汉口,沈阳北,2020.1.27,https://mp.weixin.qq.com/s/8pxqQNd3sCjyqM8adaOmIg
1月16,火车,Z162,5号车厢,武汉,石家庄,2020.1.27,https://mp.weixin.qq.com/s/8pxqQNd3sCjyqM8adaOmIg
1月17,火车,D7625,,沈阳,本溪,2020.1.27,https://mp.weixin.qq.com/s/8pxqQNd3sCjyqM8adaOmIg
1月18,火车,K1366,4号车厢,武昌,大同,2020.1.27,https://mp.weixin.qq.com/s/8pxqQNd3sCjyqM8adaOmIg
1月18,火车,G6859,5号车厢,汉口,襄阳东,2020.1.27,https://mp.weixin.qq.com/s/8pxqQNd3sCjyqM8adaOmIg
1月18,火车,T3038,7号车厢,汉口,北京西,2020.1.27,https://mp.weixin.qq.com/s/8pxqQNd3sCjyqM8adaOmIg
1月18,火车,K1276,10号车厢,武昌,大同,2020.1.27,https://mp.weixin.qq.com/s/8pxqQNd3sCjyqM8adaOmIg
1月20,火车,K458,13号车厢,武昌,郑州,2020.1.27,https://mp.weixin.qq.com/s/8pxqQNd3sCjyqM8adaOmIg
1月21,火车,G1264,11号车厢,郑州东,齐齐哈尔南,2020.1.27,https://mp.weixin.qq.com/s/8pxqQNd3sCjyqM8adaOmIg
1月21,火车,K995,8号车厢,齐齐哈尔,牙克石,2020.1.27,https://mp.weixin.qq.com/s/8pxqQNd3sCjyqM8adaOmIg
1月21,火车,D3937,7号车厢,南宁,昆明,2020.1.27,https://mp.weixin.qq.com/s/8pxqQNd3sCjyqM8adaOmIg
1月21,火车,G1525,13号车厢,武汉,昆明南,2020.1.27,https://mp.weixin.qq.com/s/8pxqQNd3sCjyqM8adaOmIg
1月22,火车,K1068,4号车厢,汉口,威海,2020.1.27,https://mp.weixin.qq.com/s/8pxqQNd3sCjyqM8adaOmIg
1月22,火车,D6963,,呼和浩特,鄂尔多斯,2020.1.27,https://mp.weixin.qq.com/s/8pxqQNd3sCjyqM8adaOmIg
1月23,火车,G1278,2号车厢,汉口,哈尔滨西,2020.1.27,https://mp.weixin.qq.com/s/8pxqQNd3sCjyqM8adaOmIg
1月24,火车,D3286,,汉口,梅州西,2020.1.27,https://mp.weixin.qq.com/s/8pxqQNd3sCjyqM8adaOmIg
1月21,飞机,SC8734,,武汉,青岛,2020.1.27,https://mp.weixin.qq.com/s/8pxqQNd3sCjyqM8adaOmIg
1月22,飞机,ZH4751(CA8215),,武汉,北京,2020.1.27,https://mp.weixin.qq.com/s/8pxqQNd3sCjyqM8adaOmIg
1月20,汽车,吉JG4666,,松原,乾安,2020.1.27,https://mp.weixin.qq.com/s/8pxqQNd3sCjyqM8adaOmIg
1月21,汽车,晋C06600D,,阳泉北,阳泉,2020.1.27,https://mp.weixin.qq.com/s/8pxqQNd3sCjyqM8adaOmIg
1月22,汽车,川R59013,,李渡镇,吉安镇,2020.1.27,https://mp.weixin.qq.com/s/8pxqQNd3sCjyqM8adaOmIg
1月22,机场巴士,蒙A55055,1号线2号车,呼和浩特机场,呼和浩特西客站,2020.1.27,https://mp.weixin.qq.com/s/8pxqQNd3sCjyqM8adaOmIg
1月23,汽车,川R60720,,南充,烈面镇,2020.1.27,https://mp.weixin.qq.com/s/8pxqQNd3sCjyqM8adaOmIg
1月16,火车,T182,,汉口,沈阳北,2020.1.26,https://mp.weixin.qq.com/s/f95cjAHK4bD-tZb4x7lRYA
1月17,火车,D7625,,沈阳,本溪,2020.1.26,https://mp.weixin.qq.com/s/f95cjAHK4bD-tZb4x7lRYA
1月17,火车,Z162,5号车厢,武汉,石家庄,2020.1.26,https://mp.weixin.qq.com/s/f95cjAHK4bD-tZb4x7lRYA
1月18,火车,K1366,4号车厢,武昌,大同,2020.1.26,https://mp.weixin.qq.com/s/f95cjAHK4bD-tZb4x7lRYA
1月18,火车,G6859,5号车厢,汉口,襄阳东,2020.1.26,https://mp.weixin.qq.com/s/f95cjAHK4bD-tZb4x7lRYA
1月19,火车,K1276,10号车厢,武昌,大同,2020.1.26,https://mp.weixin.qq.com/s/f95cjAHK4bD-tZb4x7lRYA
1月20,火车,K458,13号车厢,武昌,郑州,2020.1.26,https://mp.weixin.qq.com/s/f95cjAHK4bD-tZb4x7lRYA
1月21,火车,G1264,11号车厢,郑州东,齐齐哈尔南,2020.1.26,https://mp.weixin.qq.com/s/f95cjAHK4bD-tZb4x7lRYA
1月21,火车,K995,8号车厢,齐齐哈尔,牙克石,2020.1.26,https://mp.weixin.qq.com/s/f95cjAHK4bD-tZb4x7lRYA
1月21,火车,D3937,7号车厢,南宁,昆明,2020.1.26,https://mp.weixin.qq.com/s/f95cjAHK4bD-tZb4x7lRYA
1月22,火车,K1068,4号车厢,汉口,威海,2020.1.26,https://mp.weixin.qq.com/s/f95cjAHK4bD-tZb4x7lRYA
1月23,火车,G1278,2号车厢,汉口,哈尔滨西,2020.1.26,https://mp.weixin.qq.com/s/f95cjAHK4bD-tZb4x7lRYA
1月24,火车,D3286,,汉口,梅州西,2020.1.26,https://mp.weixin.qq.com/s/f95cjAHK4bD-tZb4x7lRYA
1月21,飞机,SC8734,,武汉,青岛,2020.1.26,https://mp.weixin.qq.com/s/f95cjAHK4bD-tZb4x7lRYA
1月22,飞机,ZH4751(CA8215),,武汉,北京,2020.1.26,https://mp.weixin.qq.com/s/f95cjAHK4bD-tZb4x7lRYA
1月20,汽车,吉JG4666,,松原,乾安,2020.1.26,https://mp.weixin.qq.com/s/f95cjAHK4bD-tZb4x7lRYA
1月21,汽车,晋C06600D,,阳泉北,阳泉,2020.1.26,https://mp.weixin.qq.com/s/f95cjAHK4bD-tZb4x7lRYA
1月22,汽车,川R59013,,李渡镇,吉安镇,2020.1.26,https://mp.weixin.qq.com/s/f95cjAHK4bD-tZb4x7lRYA
1月23,汽车,川R60720,,南充,烈面镇,2020.1.26,https://mp.weixin.qq.com/s/f95cjAHK4bD-tZb4x7lRYA
1月22,汽车,川R59013,,李渡镇,吉安镇,2020.1.26,https://mp.weixin.qq.com/s/rpetrgW9asUFfw_2f264rA
1月23,汽车,川R60720,,南充,烈面镇,2020.1.26,https://mp.weixin.qq.com/s/rpetrgW9asUFfw_2f264rA
1月21,汽车,晋C06600D,,阳泉北,阳泉,2020.1.26,https://mp.weixin.qq.com/s/rpetrgW9asUFfw_2f264rA
1月24,火车,D3286,,汉口,梅州西,2020.1.26,https://mp.weixin.qq.com/s/rzgn5_qkn8HZ5RyJ1wAihg
1月20,火车,K458,13车007号下铺,武昌,郑州,2020.1.26,https://mp.weixin.qq.com/s/rzgn5_qkn8HZ5RyJ1wAihg
1月21,火车,G1264,11车09A号二等座,郑州东,齐齐哈尔南,2020.1.26,https://mp.weixin.qq.com/s/rzgn5_qkn8HZ5RyJ1wAihg
1月21,火车,K995,8车018号下铺,齐齐哈尔,牙克石,2020.1.26,https://mp.weixin.qq.com/s/rzgn5_qkn8HZ5RyJ1wAihg
1月19,火车,K1276,10号车厢01中铺,武昌,大同,2020.1.26,https://mp.weixin.qq.com/s/CO7DqI0uhos_xOggBQe4ag
1月22,公交,3路,3路,锡林浩特报社站,锡林浩特盟医院站,2020.1.26,https://mp.weixin.qq.com/s/3Y6CuEniq93ZBG8eWIeLGQ
1月20,汽车,JG4666,,松原,乾安,2020.1.26,https://mp.weixin.qq.com/s/2BvA9Sfmw-Dr7qMBBUSQ2w
1月22,飞机,ZH4751(CA8215),,武汉,北京,2020.1.25,https://mp.weixin.qq.com/s/sgC39-wNDdaOATMZKPrWFw
1月20,汽车,C60695,,山西太原武宿机场,平遥,2020.1.25,https://mp.weixin.qq.com/s/NmoJu05kVb1w26CALRYIDg
1月18,火车,K1366,4号车厢,武昌,大同,2020.1.25,https://mp.weixin.qq.com/s/iqL3qNvgq_gO4imM1zQxww
1月21,火车,D3937,7号车厢,南宁,昆明,2020.1.25,https://mp.weixin.qq.com/s/KJG-tS-FcSvCALqhM9VGNA
1月22,火车,K1068,4号车厢,汉口,威海,2020.1.25,https://mp.weixin.qq.com/s/Q6RZ3bVmdFRwBjoD-9-Kiw
1月23,火车,G1278,2号车厢,汉口,哈尔滨西,2020.1.24,https://mp.weixin.qq.com/s/UA_sbdy617sRlMz-lfsJfg
1月7,火车,G596,10号车厢,武汉,杭州东,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月9,火车,D8342,2号车厢,防城港,南宁东,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月10,火车,Z6,4号车厢,武昌,郑州,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月11,火车,K735,13号车厢,郑州,巩义,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月11,火车,T3040,10号车厢,信阳,新乡,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月12,火车,G2032,4号车厢,荆州,郑州东,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月12,火车,K457,4号车厢,武昌,株洲,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月12,火车,K581,6号车厢,株洲,湘潭,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月13,火车,K1627,,武汉,柳州,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月13,火车,G2032,3号车厢,汉口,郑州东,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月13,火车,T182,3、17号车厢,武汉,哈尔滨,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月14,火车,D7831,2号车厢,哈尔滨,佳木斯,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月14,火车,D8347,7号车厢,南宁东,防城港,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月14,火车,K1068,12号车厢,汉口,徐州,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月15,火车,Z338,,武汉,柳州,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月15,火车,Z335,10号车厢,武昌,柳州,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月15,火车,5539,3号车厢,柳州,金城江,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月15,火车,T182,16号车厢,武汉,哈尔滨,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月16,火车,G2035,10号车厢,武汉,温州南,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月16,火车,G7645,8号车厢,温州南,苍南,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月16,火车,K4094,9号车厢,汉口,阜阳,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月16,火车,T182,,汉口,沈阳北,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月16,火车,Z162,5号车厢,武汉,石家庄,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月16,火车,G2626,7号车厢,武汉,锦州南,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月16,火车,G1271,3号车厢,锦州南,沈阳,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月16,火车,G8146,15号车厢,沈阳,通辽,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月16,火车,G2371,4号车厢,南昌西,瑞金,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月16,火车,G518,13号车厢,汉口,郑州东,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月16,火车,K1074,6号车厢,长沙,济南,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月16,火车,G518,14号车厢,汉口,信阳东,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月16,火车,Z38,4号车厢,武昌,北京西,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月16,火车,D131,5号车厢,哈尔滨,佳木斯,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月17,火车,G520,9号车厢,汉口,郑州东,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月17,火车,G512,10号车厢,汉口,郑州东,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月17,火车,T3038,8号车厢,汉口,郑州,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月17,火车,G393,14号车厢,北京南,牡丹江,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月17,火车,K39,1号车厢,牡丹江,鸡西,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
1月17,火车,K4094,14号车厢,汉口,阜阳,2020.1.30,https://mp.weixin.qq.com/s/cc5waFr95tamOPNndU3RzA
